transcript	description	eval	begin	end
MSTRG.35737.1	Hormone receptor domain	3.44e-06	10	161
MSTRG.35737.1	Rhodopsin-like	0.021	128	450
MSTRG.35748.1	Kelch motif	0.00023	267	573
MSTRG.35748.1	BTB/POZ domain	0.0019	12	126
MSTRG.35759.3	Regulator of chromosome condensation RCC1	0.0067	11	293
MSTRG.35768.2	LanC-like	0.0046	73	444
MSTRG.35775.1	Hect, E3 ligase catalytic domain	1.15e-07	687	1043
MSTRG.35775.1	Regulator of chromosome condensation RCC1	0.00037	2	379
MSTRG.35775.3	Hect, E3 ligase catalytic domain	1.15e-07	687	1043
MSTRG.35775.3	Regulator of chromosome condensation RCC1	0.00037	2	379
MSTRG.35775.4	Hect, E3 ligase catalytic domain	1.15e-07	687	1043
MSTRG.35775.4	Regulator of chromosome condensation RCC1	0.00037	2	379
MSTRG.35788.1	Synuclein	3.48e-07	1	132
MSTRG.35788.2	Synuclein	3.71e-07	1	131
MSTRG.3589.1	LacY-like proton/sugar symporter	0.022	22	178
MSTRG.35919.1	C1 set domains (antibody constant domain-like)	0.00094	1	38
MSTRG.35926.2	Quinoprotein alcohol dehydrogenase-like	0.005	101	263
MSTRG.35926.2	Quinoprotein alcohol dehydrogenase-like	0.005	301	350
MSTRG.35926.2	Protein kinases, catalytic subunit	0.0034	578	656
MSTRG.35945.2	RING finger domain, C3HC4	0.0061	540	590
MSTRG.35948.5	Hypoxia-inducible factor HIF ihhibitor (FIH1)	0.07	331	502
MSTRG.35948.6	Hypoxia-inducible factor HIF ihhibitor (FIH1)	0.07	242	414
MSTRG.35948.6	Hypoxia-inducible factor HIF ihhibitor (FIH1)	0.07	453	473
MSTRG.3595.1	t-snare proteins	0.00083	12	203
MSTRG.3595.2	t-snare proteins	0.00036	12	220
MSTRG.35976.1	SNARE fusion complex	2e-04	1	47
MSTRG.35979.1	S-adenosylmethionine synthetase	2.32e-07	127	251
MSTRG.35979.1	S-adenosylmethionine synthetase	5.65e-07	252	367
MSTRG.35979.1	S-adenosylmethionine synthetase	8.29e-07	18	124
MSTRG.36004.1	ZZ domain	0.0094	3	63
MSTRG.36075.1	TBP-associated factors, TAFs	0.0048	41	136
MSTRG.36090.6	Prokaryotic proteases	8.64e-08	150	313
MSTRG.36090.6	HtrA-like serine proteases	1.57e-05	336	432
MSTRG.36093.2	RING finger domain, C3HC4	0.017	27	95
MSTRG.36093.3	RING finger domain, C3HC4	0.017	39	107
MSTRG.36093.6	RING finger domain, C3HC4	0.017	39	107
MSTRG.36102.5	Pleckstrin-homology domain (PH domain)	0.033	348	456
MSTRG.36102.6	Pleckstrin-homology domain (PH domain)	0.033	348	456
MSTRG.36105.2	Cap-Gly domain	7.29e-06	4	99
MSTRG.36115.1	Nucleotide and nucleoside kinases	9.03e-08	38	233
MSTRG.36115.8	Nucleotide and nucleoside kinases	0.001	37	80
MSTRG.36136.3	Canonical RBD	0.0039	841	924
MSTRG.36136.3	Canonical RBD	0.005	944	1028
MSTRG.36136.3	Canonical RBD	0.0033	669	753
MSTRG.36136.3	HkH motif-containing C2H2 finger	0.033	1818	1867
MSTRG.36136.4	Canonical RBD	0.0039	841	924
MSTRG.36136.4	Canonical RBD	0.005	944	1028
MSTRG.36136.4	Canonical RBD	0.0033	669	753
MSTRG.36136.4	HkH motif-containing C2H2 finger	0.033	1818	1867
MSTRG.36136.8	Canonical RBD	0.0039	892	975
MSTRG.36136.8	Canonical RBD	0.005	995	1079
MSTRG.36136.8	Canonical RBD	0.0033	669	753
MSTRG.36136.8	HkH motif-containing C2H2 finger	0.033	1869	1918
MSTRG.36143.1	Synaptotagmin-like (S variant)	0.029	248	381
MSTRG.36143.1	Synaptotagmin-like (S variant)	0.032	1	136
MSTRG.36143.1	Synaptotagmin-like (S variant)	0.01	398	525
MSTRG.36143.8	Synaptotagmin-like (S variant)	0.029	249	382
MSTRG.36143.8	Synaptotagmin-like (S variant)	0.01	399	526
MSTRG.36143.8	Synaptotagmin-like (S variant)	0.055	2	137
MSTRG.3616.2	tRNA splicing product Appr>p cyclic nucleotide phosphodiesterase	0.077	125	323
MSTRG.3616.3	tRNA splicing product Appr>p cyclic nucleotide phosphodiesterase	0.077	125	323
MSTRG.3616.5	tRNA splicing product Appr>p cyclic nucleotide phosphodiesterase	0.077	52	250
MSTRG.36171.4	Synaptotagmin-like (S variant)	0.044	21	185
MSTRG.36188.1	N-acetyl transferase, NAT	0.0086	78	204
MSTRG.36195.1	N-acetyl transferase, NAT	0.011	1	30
MSTRG.36195.1	N-acetyl transferase, NAT	0.011	76	202
MSTRG.36201.1	PF0523-like	0.0046	9	152
MSTRG.36201.17	PF0523-like	0.005	9	148
MSTRG.36201.18	PF0523-like	0.0046	9	152
MSTRG.36201.5	PF0523-like	0.0046	9	152
MSTRG.36204.1	Dual specificity phosphatase-like	0.0033	30	104
MSTRG.36204.2	Dual specificity phosphatase-like	0.0033	30	104
MSTRG.36204.3	Dual specificity phosphatase-like	0.0033	30	104
MSTRG.36204.4	Dual specificity phosphatase-like	0.0033	30	104
MSTRG.36204.7	Dual specificity phosphatase-like	0.0033	30	104
MSTRG.36207.3	AraD-like aldolase/epimerase	0.0028	130	322
MSTRG.36213.1	Sm motif of small nuclear ribonucleoproteins, SNRNP	0.0048	7	74
MSTRG.36216.13	Canonical RBD	2.42e-05	6	86
MSTRG.36216.15	Canonical RBD	2.42e-05	6	88
MSTRG.36216.17	Canonical RBD	2.42e-05	6	88
MSTRG.36216.21	Canonical RBD	2.42e-05	6	86
MSTRG.36216.3	Canonical RBD	2.42e-05	6	88
MSTRG.3622.10	Second domain of FERM	7.47e-06	287	397
MSTRG.3622.10	First domain of FERM	8.87e-05	212	291
MSTRG.3622.10	Third domain of FERM	0.00012	396	456
MSTRG.3622.2	Third domain of FERM	1.01e-05	396	539
MSTRG.3622.2	Second domain of FERM	7.47e-06	287	397
MSTRG.3622.2	First domain of FERM	8.87e-05	213	291
MSTRG.3622.3	Third domain of FERM	1.01e-05	396	539
MSTRG.3622.3	Second domain of FERM	7.47e-06	287	397
MSTRG.3622.3	First domain of FERM	8.87e-05	213	291
MSTRG.3622.9	Third domain of FERM	1.01e-05	396	539
MSTRG.3622.9	Second domain of FERM	7.47e-06	287	397
MSTRG.3622.9	First domain of FERM	8.87e-05	213	291
MSTRG.36229.1	BTB/POZ domain	0.0042	93	204
MSTRG.36231.1	Annexin	7.64e-08	5	180
MSTRG.36231.2	Annexin	5.42e-11	6	319
MSTRG.36232.1	Protein kinases, catalytic subunit	0.00022	46	309
MSTRG.36232.2	Protein kinases, catalytic subunit	0.00022	46	309
MSTRG.36232.4	Protein kinases, catalytic subunit	0.0012	45	200
MSTRG.36238.2	Hypothetical protein SAV1430	0.0021	56	148
MSTRG.36238.2	NifU C-terminal domain-like	7.23e-06	163	245
MSTRG.36238.3	Hypothetical protein SAV1430	0.0036	166	221
MSTRG.36238.3	Hypothetical protein SAV1430	0.013	56	100
MSTRG.36238.3	NifU C-terminal domain-like	7.23e-06	236	318
MSTRG.36238.7	Hypothetical protein SAV1430	0.0021	56	148
MSTRG.36238.7	NifU C-terminal domain-like	3.01e-05	201	264
MSTRG.36264.3	Retrovirus zinc finger-like domains	0.001	128	166
MSTRG.36264.3	Retrovirus zinc finger-like domains	0.00097	86	127
MSTRG.36264.3	Retrovirus zinc finger-like domains	0.0012	45	84
MSTRG.36264.3	Retrovirus zinc finger-like domains	0.0044	2	27
MSTRG.36264.4	Retrovirus zinc finger-like domains	0.00097	86	128
MSTRG.36264.4	Retrovirus zinc finger-like domains	0.0012	46	85
MSTRG.36264.4	Retrovirus zinc finger-like domains	0.0044	2	27
MSTRG.36267.15	BB1717-like	3e-04	2	210
MSTRG.36267.17	BB1717-like	0.00062	2	146
MSTRG.36267.7	BB1717-like	3e-04	2	221
MSTRG.36276.1	G proteins	3.55e-08	5	182
MSTRG.36276.2	G proteins	3.55e-08	5	182
MSTRG.36276.3	G proteins	3.16e-05	5	82
MSTRG.36276.4	G proteins	3.5e-05	5	80
MSTRG.36276.5	G proteins	3.5e-05	5	80
MSTRG.36276.6	G proteins	3.55e-08	5	182
MSTRG.36283.7	G proteins	5.07e-05	7	225
MSTRG.36283.8	G proteins	5.07e-05	7	225
MSTRG.36293.11	Haloperoxidase	0.018	7	221
MSTRG.36293.2	Haloperoxidase	0.06	7	153
MSTRG.36299.1	Ankyrin repeat	0.011	4	40
MSTRG.36311.1	Classic zinc finger, C2H2	0.017	343	400
MSTRG.36311.1	Classic zinc finger, C2H2	0.0091	219	278
MSTRG.36311.1	Classic zinc finger, C2H2	0.034	268	322
MSTRG.36311.1	Classic zinc finger, C2H2	0.0096	176	233
MSTRG.36311.1	Classic zinc finger, C2H2	0.017	383	439
MSTRG.36315.1	Classic zinc finger, C2H2	0.0067	318	357
MSTRG.36316.2	ALDH-like	7.93e-10	413	901
MSTRG.36316.2	Formyltransferase	2.77e-09	1	201
MSTRG.36316.2	Post formyltransferase domain	1.14e-06	205	306
MSTRG.36316.2	Acyl-carrier protein (ACP)	0.014	325	410
MSTRG.36316.4	Formyltransferase	1.27e-08	1	170
MSTRG.36319.2	MgtE membrane domain-like	0.018	67	138
MSTRG.36320.2	Sec7 domain	4.75e-06	522	712
MSTRG.36320.2	Pleckstrin-homology domain (PH domain)	0.014	744	868
MSTRG.36334.2	Histone deacetylase, HDAC	0.00024	5	291
MSTRG.36351.1	Sm motif of small nuclear ribonucleoproteins, SNRNP	0.0061	14	74
MSTRG.36351.2	Sm motif of small nuclear ribonucleoproteins, SNRNP	0.0036	14	95
MSTRG.36356.3	SNF-like	0.00016	41	325
MSTRG.36359.4	PDZ domain	0.03	36	128
MSTRG.36392.7	Reprolysin-like	0.049	118	154
MSTRG.3640.1	MBT repeat	5.68e-05	337	460
MSTRG.3640.1	MBT repeat	7.49e-07	230	338
MSTRG.3640.1	MBT repeat	8.26e-06	446	574
MSTRG.3640.1	SAM (sterile alpha motif) domain	0.002	781	848
MSTRG.36419.1	PDZ domain	2.58e-05	220	327
MSTRG.36419.1	PDZ domain	0.00022	385	497
MSTRG.36419.1	PDZ domain	0.00037	593	691
MSTRG.36419.1	WW domain	0.0011	68	108
MSTRG.36419.1	WW domain	0.0027	126	165
MSTRG.36419.2	PDZ domain	8.58e-05	907	999
MSTRG.36419.2	PDZ domain	0.00037	592	690
MSTRG.36419.2	PDZ domain	2.58e-05	219	326
MSTRG.36419.2	PDZ domain	0.00022	384	496
MSTRG.36419.2	PDZ domain	9.13e-05	759	858
MSTRG.36419.2	WW domain	0.0011	68	108
MSTRG.36419.2	WW domain	0.0027	125	164
MSTRG.36419.3	PDZ domain	8.58e-05	907	999
MSTRG.36419.3	PDZ domain	0.00037	591	689
MSTRG.36419.3	PDZ domain	2.58e-05	219	326
MSTRG.36419.3	PDZ domain	0.00022	384	495
MSTRG.36419.3	PDZ domain	9.27e-05	758	858
MSTRG.36419.3	WW domain	0.0011	68	108
MSTRG.36419.3	WW domain	0.0027	125	164
MSTRG.36446.1	Mitochondrial carrier	0.0072	5	246
MSTRG.36447.4	Ngr ectodomain-like	0.0053	45	111
MSTRG.36447.4	Internalin LRR domain	0.06	118	480
MSTRG.36447.4	I set domains	0.013	496	607
MSTRG.36447.4	I set domains	0.0095	601	697
MSTRG.36447.4	I set domains	0.011	688	782
MSTRG.36452.4	BTB/POZ domain	0.0011	3	119
MSTRG.36452.4	Kelch motif	0.0084	270	418
MSTRG.36476.1	Third domain of FERM	0.0015	199	351
MSTRG.36476.1	Second domain of FERM	0.0016	89	197
MSTRG.36476.1	First domain of FERM	0.0026	3	89
MSTRG.36476.7	Third domain of FERM	0.0015	253	377
MSTRG.36476.7	Second domain of FERM	0.0016	143	251
MSTRG.36476.7	First domain of FERM	0.0026	57	143
MSTRG.36482.2	HLH, helix-loop-helix DNA-binding domain	0.0011	306	372
MSTRG.36497.1	Forkhead DNA-binding domain	1.45e-05	494	577
MSTRG.36497.10	Forkhead DNA-binding domain	1.45e-05	363	446
MSTRG.36497.11	Forkhead DNA-binding domain	1.45e-05	363	446
MSTRG.36497.12	Forkhead DNA-binding domain	1.45e-05	462	545
MSTRG.36497.3	Forkhead DNA-binding domain	1.45e-05	492	575
MSTRG.36497.44	Translation initiation factor eIF4e	0.0015	1	115
MSTRG.36497.5	Forkhead DNA-binding domain	1.45e-05	363	446
MSTRG.36497.6	Forkhead DNA-binding domain	1.45e-05	364	447
MSTRG.36557.3	I set domains	0.026	413	500
MSTRG.36557.3	V set domains (antibody variable domain-like)	0.092	499	602
MSTRG.36557.3	I set domains	0.00041	124	206
MSTRG.36557.3	I set domains	0.0023	226	312
MSTRG.36557.3	I set domains	0.00048	312	404
MSTRG.36557.3	I set domains	0.00025	23	116
MSTRG.36557.3	Fibronectin type III	0.00054	597	802
MSTRG.36557.3	Fibronectin type III	1.85e-06	805	990
MSTRG.36563.1	I set domains	0.014	37	134
MSTRG.36563.1	I set domains	0.014	137	224
MSTRG.36563.1	I set domains	0.0069	248	337
MSTRG.36563.1	I set domains	0.041	426	513
MSTRG.36563.1	I set domains	0.0091	324	419
MSTRG.36563.1	I set domains	0.027	519	635
MSTRG.36563.1	Fibronectin type III	0.0018	810	1005
MSTRG.36563.1	Fibronectin type III	0.00013	610	809
MSTRG.36563.2	I set domains	0.014	37	134
MSTRG.36563.2	I set domains	0.014	137	224
MSTRG.36563.2	I set domains	0.0069	248	337
MSTRG.36563.2	I set domains	0.041	426	513
MSTRG.36563.2	I set domains	0.0091	324	419
MSTRG.36563.2	I set domains	0.027	519	635
MSTRG.36563.2	Fibronectin type III	0.0018	810	1005
MSTRG.36563.2	Fibronectin type III	0.00013	610	809
MSTRG.36579.1	I set domains	0.00068	25	119
MSTRG.36579.1	I set domains	0.012	417	504
MSTRG.36579.1	I set domains	0.0024	224	310
MSTRG.36579.1	I set domains	0.05	497	601
MSTRG.36579.1	I set domains	0.00061	309	402
MSTRG.36579.1	I set domains	0.00058	124	203
MSTRG.36579.1	Fibronectin type III	0.00046	595	801
MSTRG.36579.1	Fibronectin type III	2.19e-05	803	988
MSTRG.36579.5	I set domains	0.012	417	504
MSTRG.36579.5	I set domains	0.0024	224	310
MSTRG.36579.5	I set domains	0.033	497	600
MSTRG.36579.5	I set domains	0.00061	309	402
MSTRG.36579.5	I set domains	0.00045	124	203
MSTRG.36579.5	I set domains	2e-04	24	116
MSTRG.36579.5	Fibronectin type III	0.00074	585	679
MSTRG.36579.5	Fibronectin type III	0.0023	680	745
MSTRG.36579.5	Fibronectin type III	1.49e-05	733	827
MSTRG.36581.3	Poly A polymerase C-terminal region-like	2.84e-08	181	353
MSTRG.36581.3	Poly A polymerase head domain-like	8.64e-08	31	179
MSTRG.36581.6	Poly A polymerase C-terminal region-like	1.32e-08	181	433
MSTRG.36581.6	Poly A polymerase head domain-like	8.64e-08	31	179
MSTRG.36582.4	LON domain-like	0.012	83	179
MSTRG.36592.6	Sulfatase-modifying factor-like	7.9e-10	88	314
MSTRG.36596.1	MIR domain	2.27e-09	236	435
MSTRG.36596.1	MIR domain	0.015	108	219
MSTRG.36596.1	IP3 receptor type 1 binding core, domain 2	1.92e-08	437	602
MSTRG.36596.5	MIR domain	0.015	108	178
MSTRG.36619.4	L-arabinose binding protein-like	1.41e-07	2	348
MSTRG.36619.5	L-arabinose binding protein-like	1.41e-07	2	348
MSTRG.36619.6	L-arabinose binding protein-like	1.78e-05	1	186
MSTRG.36619.8	L-arabinose binding protein-like	0.0025	1	39
MSTRG.36628.1	Rhodopsin-like	0.00047	35	364
MSTRG.36628.3	Rhodopsin-like	0.00047	35	364
MSTRG.36633.2	RING finger domain, C3HC4	0.0089	16	86
MSTRG.36639.2	Precorrin-6Y methyltransferase (CbiT)	0.026	274	439
MSTRG.36639.2	THUMP domain	0.029	114	288
MSTRG.3664.4	Higher-molecular-weight phosphotyrosine protein phosphatases	9.15e-06	1137	1437
MSTRG.3664.4	Higher-molecular-weight phosphotyrosine protein phosphatases	1.11e-09	870	1179
MSTRG.3664.4	MAM domain	4.4e-06	33	191
MSTRG.3664.4	Fibronectin type III	0.0012	392	589
MSTRG.3664.4	Fibronectin type III	0.007	289	420
MSTRG.3664.4	I set domains	0.0013	195	297
MSTRG.3664.7	MAM domain	4.4e-06	33	191
MSTRG.3664.7	Fibronectin type III	0.0012	392	589
MSTRG.3664.7	Fibronectin type III	0.007	289	421
MSTRG.3664.7	I set domains	0.0011	195	297
MSTRG.36642.10	Histone lysine methyltransferases	0.021	259	406
MSTRG.36649.5	Synaptotagmin-like (S variant)	0.021	133	264
MSTRG.36649.5	Synaptotagmin-like (S variant)	0.019	12	136
MSTRG.36649.5	Integrin A (or I) domain	0.014	296	476
MSTRG.36649.8	Synaptotagmin-like (S variant)	0.028	11	92
MSTRG.36651.3	Bromodomain	0.00039	627	731
MSTRG.36651.3	PHD domain	0.0095	260	337
MSTRG.36651.3	PWWP domain	0.016	1118	1227
MSTRG.36677.2	VHL	7.37e-08	26	173
MSTRG.36689.1	WD40-repeat	0.0013	14	196
MSTRG.36690.2	Calcium ATPase, transmembrane domain M	0.001	47	188
MSTRG.36690.2	Calcium ATPase, transmembrane domain M	0.001	332	446
MSTRG.36690.2	Calcium ATPase, transmembrane domain M	0.001	823	1043
MSTRG.36690.2	Meta-cation ATPase, catalytic domain P	0.00022	451	470
MSTRG.36690.2	Meta-cation ATPase, catalytic domain P	0.00022	609	877
MSTRG.36690.2	Metal cation-transporting ATPase, ATP-binding domain N	0.0056	458	668
MSTRG.36690.2	Calcium ATPase, transduction domain A	0.00072	190	288
MSTRG.36704.2	SNF-like	3.01e-05	44	556
MSTRG.36706.1	Rhodopsin-like	0.0026	8	225
MSTRG.36706.1	Rhodopsin-like	0.0026	397	486
MSTRG.36706.4	Rhodopsin-like	0.0026	8	225
MSTRG.36706.4	Rhodopsin-like	0.0026	397	486
MSTRG.36707.7	Molybdenum cofactor biosynthesis protein MoeB	0.095	340	507
MSTRG.36707.7	Molybdenum cofactor biosynthesis protein MoeB	0.095	541	665
MSTRG.36720.1	Synapsin C-terminal domain	3.25e-09	215	417
MSTRG.36720.1	Synapsin domain	1.04e-06	113	214
MSTRG.36720.4	Synapsin C-terminal domain	3.25e-09	175	377
MSTRG.36720.4	Synapsin domain	4.16e-05	113	170
MSTRG.36720.8	Synapsin C-terminal domain	0.00012	23	68
MSTRG.36723.2	Tissue inhibitor of metalloproteinases, TIMP	0.0063	30	78
MSTRG.36724.1	Nuclear receptor	0.00023	105	183
MSTRG.36729.2	CCCH zinc finger	0.0052	3	27
MSTRG.36731.4	Ras-binding domain, RBD	1.3e-05	56	131
MSTRG.36731.4	Protein kinase cysteine-rich domain (cys2, phorbol-binding domain)	0.00014	130	184
MSTRG.36731.8	Ras-binding domain, RBD	1.3e-05	56	131
MSTRG.36731.8	Protein kinase cysteine-rich domain (cys2, phorbol-binding domain)	0.00014	130	184
MSTRG.36743.1	Ribosomal protein L32e	9e-04	2	134
MSTRG.36762.7	Ubiquitin-related	0.0015	22	113
MSTRG.36762.8	Ubiquitin-related	0.0082	22	86
MSTRG.36771.4	Classic zinc finger, C2H2	0.0036	137	189
MSTRG.36771.4	Classic zinc finger, C2H2	0.0071	53	105
MSTRG.36771.4	Classic zinc finger, C2H2	0.003	91	148
MSTRG.36783.3	Classic zinc finger, C2H2	0.0058	4	56
MSTRG.36783.3	Classic zinc finger, C2H2	0.0037	140	192
MSTRG.36783.3	Classic zinc finger, C2H2	0.0062	43	99
MSTRG.36783.3	Classic zinc finger, C2H2	0.0055	99	155
MSTRG.36785.3	Canonical RBD	9.26e-06	276	365
MSTRG.36785.3	Canonical RBD	1.49e-05	100	194
MSTRG.36785.3	Canonical RBD	0.00068	6	98
MSTRG.36798.1	G proteins	0.041	78	214
MSTRG.36798.3	G proteins	0.041	78	213
MSTRG.36799.1	Classic zinc finger, C2H2	0.007	469	526
MSTRG.36799.1	Classic zinc finger, C2H2	0.0043	385	442
MSTRG.36799.1	Classic zinc finger, C2H2	0.044	221	276
MSTRG.36799.1	Classic zinc finger, C2H2	0.01	347	399
MSTRG.36799.1	Classic zinc finger, C2H2	0.0041	511	563
MSTRG.36799.1	Classic zinc finger, C2H2	0.0078	432	464
MSTRG.36799.1	KRAB domain (Kruppel-associated box)	0.0011	3	64
MSTRG.36867.12	Tropomyosin	0.008	424	548
MSTRG.36867.12	Myosin rod fragments	0.0036	512	619
MSTRG.36867.6	Tropomyosin	0.007	376	520
MSTRG.36872.1	The homologous-pairing domain of Rad52 recombinase	1.9e-08	28	207
MSTRG.36872.10	The homologous-pairing domain of Rad52 recombinase	1.9e-08	28	207
MSTRG.36872.8	The homologous-pairing domain of Rad52 recombinase	1.9e-08	28	207
MSTRG.36873.16	Protein kinases, catalytic subunit	3.28e-10	226	480
MSTRG.36873.25	Protein kinases, catalytic subunit	3.38e-10	220	467
MSTRG.36883.1	PhyH-like	0.079	350	405
MSTRG.36883.1	PhyH-like	0.079	434	638
MSTRG.36883.1	PHD domain	0.0091	1140	1222
MSTRG.36883.1	PHD domain	0.0019	288	350
MSTRG.36883.1	PHD domain	0.0041	1602	1664
MSTRG.36883.1	ARID domain	7e-04	65	179
MSTRG.36883.2	PhyH-like	0.079	349	405
MSTRG.36883.2	PhyH-like	0.079	434	594
MSTRG.36883.2	ARID domain	7e-04	65	179
MSTRG.36883.2	PHD domain	0.0019	288	350
MSTRG.36893.5	NagD-like	0.043	49	157
MSTRG.36907.1	V-type ATPase subunit E	0.0027	196	324
MSTRG.36907.3	V-type ATPase subunit E	0.0037	196	315
MSTRG.36914.3	Bcl-2 inhibitors of programmed cell death	4.74e-09	1	195
MSTRG.36945.1	Lysine biosynthesis enzyme LysX ATP-binding domain	0.01	104	305
MSTRG.36945.2	Lysine biosynthesis enzyme LysX ATP-binding domain	0.01	104	305
MSTRG.36945.3	Lysine biosynthesis enzyme LysX ATP-binding domain	0.088	104	211
MSTRG.3698.1	HIT (HINT, histidine triad) family of protein kinase-interacting proteins	0.0017	19	89
MSTRG.3698.11	LysM domain	0.0046	117	161
MSTRG.36981.2	Eukaryotic proteases	8.19e-08	431	688
MSTRG.36981.2	Spermadhesin, CUB domain	1.22e-06	25	137
MSTRG.36981.2	Spermadhesin, CUB domain	7.13e-05	180	293
MSTRG.36981.2	Complement control module/SCR domain	7.55e-05	365	435
MSTRG.36981.2	Complement control module/SCR domain	0.0014	307	368
MSTRG.36981.2	EGF-type module	3e-04	133	177
MSTRG.36986.7	EMG1/NEP1-like	2.92e-05	34	138
MSTRG.36992.1	Enolase	3.58e-09	143	356
MSTRG.36992.1	Enolase N-terminal domain-like	1.89e-07	3	138
MSTRG.36992.3	Enolase	8.24e-11	143	430
MSTRG.36992.3	Enolase N-terminal domain-like	1.89e-07	3	138
MSTRG.36996.2	SPRY domain	1.93e-09	16	218
MSTRG.36996.2	SOCS box-like	0.0051	223	263
MSTRG.36997.4	Triosephosphate isomerase (TIM)	1.31e-05	51	130
MSTRG.36997.5	Triosephosphate isomerase (TIM)	5.5e-10	51	295
MSTRG.36998.1	Ubiquitin carboxyl-terminal hydrolase, UCH	0.00056	322	492
MSTRG.36998.1	Ubiquitin carboxyl-terminal hydrolase, UCH	0.00056	532	617
MSTRG.36998.1	Ubiquitin carboxyl-terminal hydrolase, UCH	0.00056	660	697
MSTRG.36998.1	Zf-UBP	6.92e-07	175	283
MSTRG.37.2	Plakophilin 1 helical region	0.056	10	104
MSTRG.37.3	Regulatory subunit H of the V-type ATPase	6.38e-05	10	447
MSTRG.37.6	Plakophilin 1 helical region	0.056	10	104
MSTRG.37.7	Regulatory subunit H of the V-type ATPase	0.01	10	293
MSTRG.37013.10	Classic zinc finger, C2H2	0.0075	235	287
MSTRG.37013.10	Classic zinc finger, C2H2	0.019	211	244
MSTRG.37013.9	Classic zinc finger, C2H2	0.0075	251	303
MSTRG.37013.9	Classic zinc finger, C2H2	0.019	227	260
MSTRG.37015.1	PHD domain	4.94e-06	166	248
MSTRG.37019.4	Tandem AAA-ATPase domain	2.61e-05	939	1209
MSTRG.37019.4	Tandem AAA-ATPase domain	6.95e-05	685	937
MSTRG.37019.4	Chromo domain	0.0048	586	655
MSTRG.37019.4	PHD domain	0.0016	347	397
MSTRG.37019.4	Chromo domain	0.013	444	491
MSTRG.37019.4	Chromo domain	0.013	518	564
MSTRG.37019.5	Tandem AAA-ATPase domain	2.61e-05	946	1216
MSTRG.37019.5	Tandem AAA-ATPase domain	6.95e-05	692	944
MSTRG.37019.5	Chromo domain	0.0048	593	662
MSTRG.37019.5	PHD domain	0.0016	354	404
MSTRG.37019.5	Chromo domain	0.013	451	498
MSTRG.37019.5	Chromo domain	0.013	525	571
MSTRG.37019.8	Tandem AAA-ATPase domain	2.61e-05	939	1209
MSTRG.37019.8	Tandem AAA-ATPase domain	6.95e-05	685	937
MSTRG.37019.8	Chromo domain	0.0048	586	655
MSTRG.37019.8	PHD domain	0.0016	347	397
MSTRG.37019.8	Chromo domain	0.013	444	491
MSTRG.37019.8	Chromo domain	0.013	518	564
MSTRG.37021.1	Intermediate filament protein, coiled coil region	0.00091	454	522
MSTRG.37023.11	PBS lyase HEAT-like repeat	0.06	262	393
MSTRG.37054.4	Neurotrophin	1.26e-06	138	254
MSTRG.3706.1	HLH, helix-loop-helix DNA-binding domain	0.0021	49	122
MSTRG.3706.2	HLH, helix-loop-helix DNA-binding domain	0.0026	45	107
MSTRG.37063.2	Tyrosine-dependent oxidoreductases	0.031	55	186
MSTRG.37063.5	Tyrosine-dependent oxidoreductases	0.022	55	325
MSTRG.37069.2	Cofactor-dependent phosphoglycerate mutase	0.013	4	90
MSTRG.37083.1	Calmodulin-like	0.048	43	115
MSTRG.37095.1	Tetraspanin	0.008	105	201
MSTRG.37110.14	Retroviral protease (retropepsin)	0.042	82	177
MSTRG.3713.1	HD domain	0.0022	12	57
MSTRG.3713.2	HD domain	0.00065	12	111
MSTRG.37153.1	C-type lectin domain	0.007	5	93
MSTRG.37153.3	C-type lectin domain	0.0015	129	245
MSTRG.37241.1	Quinoprotein alcohol dehydrogenase-like	0.01	124	334
MSTRG.37241.1	Quinoprotein alcohol dehydrogenase-like	0.01	407	498
MSTRG.37246.2	Phosphate binding protein-like	4.02e-08	455	560
MSTRG.37246.2	Phosphate binding protein-like	4.02e-08	682	798
MSTRG.37246.2	L-arabinose binding protein-like	0.0071	72	392
MSTRG.37284.2	Phosphotyrosine-binding domain (PTB)	0.00078	61	123
MSTRG.37286.1	WD40-repeat	0.0023	6	109
MSTRG.37286.3	WD40-repeat	0.00085	7	260
MSTRG.37287.7	Class I aldolase	5.79e-06	42	300
MSTRG.37291.1	LIM domain	0.01	85	114
MSTRG.37291.1	LIM domain	0.0091	19	49
MSTRG.37291.1	LIM domain	0.0034	49	81
MSTRG.37291.2	LIM domain	0.01	74	103
MSTRG.37291.2	LIM domain	0.0091	8	38
MSTRG.37291.2	LIM domain	0.0034	38	70
MSTRG.37303.1	Pleckstrin-homology domain (PH domain)	0.00015	82	266
MSTRG.37303.1	WW domain	0.0023	54	89
MSTRG.37303.1	WW domain	0.004	9	46
MSTRG.37303.3	Pleckstrin-homology domain (PH domain)	0.00047	82	239
MSTRG.37303.3	WW domain	0.004	9	46
MSTRG.37303.3	WW domain	0.0023	54	89
MSTRG.37303.4	WW domain	0.004	9	46
MSTRG.37303.4	WW domain	0.0023	54	89
MSTRG.37303.4	Pleckstrin-homology domain (PH domain)	0.022	82	189
MSTRG.37303.6	Pleckstrin-homology domain (PH domain)	0.00015	82	266
MSTRG.37303.6	WW domain	0.004	9	46
MSTRG.37303.6	WW domain	0.0023	54	89
MSTRG.37308.1	Classic zinc finger, C2H2	0.015	305	347
MSTRG.37308.1	Classic zinc finger, C2H2	0.013	254	283
